,genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
42611,dance and electronica,TRNEKMK128F932F548,Alec Empire,Les Yeux Electroniques,-26.611,37.186,1,8,1,144.71791000000002,27.4990434783,-269.71551087,-17.056557971,-32.8702826087,97.962307971,-43.3963333333,1.02934782609,15.4648115942,-28.164565217399996,-5.04261594203,2.00937318841,-17.4446630435,20.2487494184,3467.29557302,7910.7170889,1542.67350097,1722.03332803,246.674250541,1363.87884115,490.420647602,737.883380115,276.420397809,161.562113806,741.1323730060001
45183,dance and electronica,TRSWSLG128F427F397,Alva Noto + Ryuichi Sakamoto,ax Mr. L.,-24.741999999999997,155.645,1,10,0,258.69016,27.4916508475,-161.009916949,-110.69806355899999,-12.090689830499999,35.8468440678,-37.1618491525,-22.3702389831,-9.25676271186,7.303461864410001,4.3284779661,0.117831355932,1.21900338983,15.4368397289,1589.93421768,5196.98753648,2036.539211,1620.13256651,778.222201311,722.874270172,321.947743854,502.41737297599997,178.47894477,227.857969733,749.565821137
44755,dance and electronica,TRHNPMJ128F14AA680,Booka Shade,friend for a night,-12.905999999999999,122.00399999999999,4,7,1,401.3971,34.2983011945,-71.37145435149999,-90.5314321672,60.5688681741,2.68202474403,0.879372440273,6.62469496587,3.35737414676,-27.8288788396,-1.4520332764500001,8.77918003413,-20.4912879693,36.9326855219,6372.41152174,3768.84226856,3887.60424959,1623.87074803,3001.58160082,801.9760114489999,1505.79236064,488.00709648699996,613.9371330480001,538.035038474,603.886706429
46107,dance and electronica,TRPINCR128F4270B1F,Mitchell Akiyama,Suggestions For Walking Alone,-24.666,120.479,3,10,1,174.18403999999998,29.019181818200003,-60.157362237799994,-3.8509090909099997,-8.53204615385,39.660047552399995,-40.3882657343,28.873535664299997,-2.68678881119,7.146574825169999,3.7649258741300007,-2.2602811188799996,0.645706293706,20.5667292509,2247.06884655,1883.58916067,1179.84463458,1043.16303077,482.694129334,659.799911714,383.45521780900003,477.33416677900004,224.42197157900003,164.012227343,294.486769505
45245,dance and electronica,TRWTRYO12903CD5F27,To Rococo Rot,No Way To Prepare,-17.792,123.899,1,0,1,32.91383,33.2461340782,39.7168994413,-72.6850670391,-5.415558659219999,6.508737430169999,-28.7313240223,9.12232402235,5.464011173180001,10.1062960894,7.227435754189999,-12.7262067039,-3.4437597765400003,36.7183255463,6623.90666285,1798.26065787,3811.7679034999996,804.8153994,1324.88758059,447.46886385,2138.05882447,491.322551594,826.1316681010001,978.42427165,190.185779222
44816,dance and electronica,TRQIHCF128F92FD175,Coco Electrik,Paint It Red,-10.705,104.993,4,0,0,168.85506,40.8081064103,13.1729076923,-40.121341025599996,22.841724359,23.3904961538,2.9676269230799996,6.67318076923,-23.6428897436,7.2801076923100005,2.26175384615,2.42215641026,2.1485141025599996,14.479041938699998,1706.98938466,2909.66471858,2266.15612162,759.176919063,1679.28707009,924.855188912,794.9372623080001,299.78569957599996,573.7851788319999,575.46880756,592.354464686
44969,dance and electronica,TRSXMGK128F42B831F,Eagles Of Death Metal,I Like To Move In The Night,-4.7589999999999995,118.81200000000001,1,0,1,239.75137999999998,49.017660241,46.7058204819,30.5542385542,14.678442168699998,-13.7868674699,0.736142168675,4.29201927711,-6.49737228916,6.44468433735,-6.14801445783,-0.136448192771,3.27268795181,34.2237230653,1642.9676527000001,1996.78030782,2059.33771835,467.616370775,1257.14224481,376.143746062,656.909956547,186.608814076,340.416632887,298.157001175,143.159305521
46798,dance and electronica,TRUQKUX128F92FD240,Joey Negro,Do It Believe It,-12.547,122.53399999999999,4,0,1,305.29261,39.5897841965,57.1044256308,-35.679736387800006,19.358314740999997,12.559942231099999,-12.566477423599999,11.5990883134,8.14367397078,3.5919189907,4.49161088977,6.44187450199,3.09897941567,22.483123901,2630.06321799,3055.33075413,1229.04680988,1179.66932436,936.789094297,519.953514074,572.130414675,283.997668116,325.61155405700003,281.02221873400003,210.324269992
42530,dance and electronica,TRJWZQY128F932F9A0,Mory Kanté,Yeke Yeke,-13.292,83.441,3,10,0,324.46648999999996,37.9112277308,33.6516376461,-50.9939117291,60.6061519549,3.33335509875,-3.2118129786400003,4.52561023781,-0.303790810157,7.9974562676300005,26.5491930673,-0.9029733978229999,6.4942337767,27.4416207208,1993.51758558,2552.27442444,1637.46450303,1481.30995328,1440.08591539,463.35051554300003,331.090080809,319.69200761,256.04833140000005,381.399605365,339.198888349
45868,dance and electronica,TRYQTVL12903CB8B1D,Fat Jon,Surrection,-13.767999999999999,95.006,4,1,1,240.19546,30.6181775223,-41.0990319285,-52.7618454662,46.1959246488,-26.7477330779,-5.0106756066400004,56.8244252874,-24.7779272031,7.7960357599000005,1.6870446998700002,-0.197943805875,-1.29611621967,31.7322423095,5038.17622927,5264.17499464,4404.46469654,1329.06907239,2791.00581267,695.419788725,1524.7448367,432.13102766699996,524.55910896,405.40574451,304.77516916
